tick,,price,,
255, WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,101.45,,
256, WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,101.46,,
258, WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,101.51,,
259, WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS-WEEK 2 CL ACTUAL DRAW 2 MLN BBLS VS FORECAST BUILD 7 MLN BBLS,101.53,,
261, S&P 500 GAINS 3% AS IMF RAISES ANOTHER 300M-IMF successfully raises another 300 million to help the troubled Eurozone region ,101.51,,
262, S&P 500 GAINS 3% AS IMF RAISES ANOTHER 300M-IMF successfully raises another 300 million to help the troubled Eurozone region ,101.58,,
264, S&P 500 GAINS 3% AS IMF RAISES ANOTHER 300M-IMF successfully raises another 300 million to help the troubled Eurozone region ,101.65,,
265, S&P 500 GAINS 3% AS IMF RAISES ANOTHER 300M-IMF successfully raises another 300 million to help the troubled Eurozone region ,101.61,,
267, S&P 500 GAINS 3% AS IMF RAISES ANOTHER 300M-IMF successfully raises another 300 million to help the troubled Eurozone region ,101.55,,
268, S&P 500 GAINS 3% AS IMF RAISES ANOTHER 300M-IMF successfully raises another 300 million to help the troubled Eurozone region ,101.56,,
270, S&P 500 GAINS 3% AS IMF RAISES ANOTHER 300M-IMF successfully raises another 300 million to help the troubled Eurozone region ,101.53,,
271, S&P 500 GAINS 3% AS IMF RAISES ANOTHER 300M-IMF successfully raises another 300 million to help the troubled Eurozone region ,101.64,,
273, S&P 500 GAINS 3% AS IMF RAISES ANOTHER 300M-IMF successfully raises another 300 million to help the troubled Eurozone region ,101.62,,
274, S&P 500 GAINS 3% AS IMF RAISES ANOTHER 300M-IMF successfully raises another 300 million to help the troubled Eurozone region ,101.62,13,0.11
276, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.63,,
277, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.51,,
279, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.5,,
280, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.51,,
282, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.46,,
283, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.5,,
285, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.59,,
286, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.49,,
288, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.51,,
289, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.49,,
291, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.49,,
292, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.49,,
294, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.39,,
295, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.37,,
297, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.36,,
299, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.41,,
300, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.43,,
301, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.45,,
303, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.46,,
305, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.44,,
306, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.5,,
308, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.39,,
309, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.37,,
311, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.47,,
312, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.47,,
314, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.55,,
315, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.48,,
317, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.47,,
318, PIPELINE COST FOR ALASKA TO CUSHING GOING DOWN TO $34,101.53,,
320, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.73,,
321, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.76,,
323, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.73,,
324, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.71,,
326, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.74,,
327, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.71,,
329, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.65,,
330, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.63,,
332, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.56,,
333, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.59,,
335, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.59,,
336, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.54,,
338, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.66,,
339, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.64,,
341, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.65,,
342, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.7,,
344, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.73,,
345, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.71,,
347, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.69,,
348, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.77,,
349, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.78,,
350, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.82,29,0.09
352, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.72,,
354, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.63,,
355, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.67,,
357, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.71,,
358, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.66,,
360, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.71,,
361, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.72,,
362, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.67,,
364, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.67,,
366, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.67,,
367, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.68,,
368, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.66,,
370, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.61,,
371, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.6,,
373, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.47,,
374, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.56,,
376, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.61,,
377, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.55,,
379, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.52,,
380, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.56,,
382, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.58,,
383, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.55,,
385, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.56,,
386, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.48,,
388, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.63,,
389, NIGERIA TO INVEST $3B IN NEW REFINERIES-The Nigerian government has pledged to fund the construction of three new oil refineries in the country,101.61,Down,
391, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.55,,
392, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.48,,
394, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.5,,
395, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.44,,
397, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.33,,
398, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.3,,
400, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.31,,
401, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.31,,
403, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.31,,
404, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.19,,
406, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.24,,
408, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.32,,
409, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.29,,
411, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.17,,
412, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.16,,
414, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.16,,
415, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.13,,
417, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.07,,
418, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.1,,
420, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.18,,
421, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.19,,
423, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.13,,
424, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.11,,
426, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.1,,
427, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101.04,,
429, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,101,,
430, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,100.91,,
432, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,100.86,,
433, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,100.87,,
435, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,100.81,,
436, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,100.76,,
438, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,100.76,,
439, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,100.74,,
441, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,100.79,,
442, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,100.76,,
444, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,100.73,,
445, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,100.73,,
447, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,100.78,,
448, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,100.74,,
450, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,100.7,,
451, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,100.72,,
453, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,100.65,,
454, WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS-WEEK 3 CL ACTUAL BUILD 0 MLN BBLS VS FORECAST DRAW 5 MLN BBLS,100.61,,
456, PIPELINE COST FOR ALASKA TO CUSHING BACK TO $40000 PER LEASE.-PIPELINE COST FOR ALASKA TO CUSHING BACK TO $40000 PER LEASE.,100.58,,
457, PIPELINE COST FOR ALASKA TO CUSHING BACK TO $40000 PER LEASE.-PIPELINE COST FOR ALASKA TO CUSHING BACK TO $40000 PER LEASE.,100.74,,
459, PIPELINE COST FOR ALASKA TO CUSHING BACK TO $40000 PER LEASE.-PIPELINE COST FOR ALASKA TO CUSHING BACK TO $40000 PER LEASE.,100.69,,
460, PIPELINE COST FOR ALASKA TO CUSHING BACK TO $40000 PER LEASE.-PIPELINE COST FOR ALASKA TO CUSHING BACK TO $40000 PER LEASE.,100.66,,
462, PIPELINE COST FOR ALASKA TO CUSHING BACK TO $40000 PER LEASE.-PIPELINE COST FOR ALASKA TO CUSHING BACK TO $40000 PER LEASE.,100.69,,
463, PIPELINE COST FOR ALASKA TO CUSHING BACK TO $40000 PER LEASE.-PIPELINE COST FOR ALASKA TO CUSHING BACK TO $40000 PER LEASE.,100.64,,
465, PIPELINE COST FOR ALASKA TO CUSHING BACK TO $40000 PER LEASE.-PIPELINE COST FOR ALASKA TO CUSHING BACK TO $40000 PER LEASE.,100.8,,
466, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.81,,
468, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.85,,
469, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.71,,
471, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.66,,
472, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.69,,
474, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.71,,
475, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.65,,
477, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.71,,
478, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.76,,
480, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.79,,
481, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.83,,
483, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.83,,
484, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.88,,
486, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.88,20,0.07
487, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.8,,
489, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.77,,
490, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.8,,
492, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.71,,
493, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.74,,
495, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.7,,
496, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.67,,
498, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.65,,
499, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.63,,
501, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.61,,
502, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.69,,
504, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.78,,
505, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.74,,
507, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.7,,
508, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.75,,
510, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.7,,
511, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.69,,
513, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.74,,
514, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.74,,
516, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.74,,
517, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.73,,
519, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.77,,
520, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.8,,
522, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.84,,
523, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.92,,
525, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.85,,
526, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.8,,
528, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.83,,
529, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.85,,
531, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.73,,
533, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.82,,
534, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.86,,
536, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.93,,
537, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.86,,
539, OPEC INCREASES OIL DEMAND FORECAST-OPEC,100.8,,
540, WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS-WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS,100.8,Down,
542, WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS-WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS,100.81,,
543, WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS-WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS,100.79,,
545, WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS-WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS,100.73,,
546, WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS-WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS,100.76,,
548, WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS-WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS,100.75,,
549, WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS-WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS,100.71,,
551, WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS-WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS,100.62,,
552, WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS-WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS,100.53,,
554, WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS-WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS,100.54,,
555, WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS-WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS,100.58,,
557, WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS-WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS,100.45,,
558, WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS-WEEK 4 CL ACTUAL BUILD 7 MLN BBLS VS FORECAST BUILD 0 MLN BBLS,100.34,,
